manual_keys,index_column,en,cs,fr,de_en,de_cz,es,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_bestMatchIndex,best_match_in_not_found
dashboard.section-1.heading,15,Who am I,Kdo jsem,Qui suis-je ?,Wer bin Ich,Wer bin Ich,Quién soy,,Performed,Found,Who am I,Who I am,0.6,dashboard.section-1.heading,55,dashboard.section-1.heading
dashboard.section-1.perex,16,Before you set where you are heading it's good to know from where you started.,"Než si určíte směr, kam míříte, je dobré vědět, kde začínáte.","Avant d'établir votre objectif, il est bon de savoir d'où vous partez.","Bevor Sie festlegen, wohin Sie gehen, ist es gut zu wissen, wo Sie anfangen.","Bevor Sie feststellen, wohin Sie gehen, ist es gut zu wissen, wo Sie anfangen.","Antes de establecer hacia dónde se dirige, es bueno saber de dónde comienza.",,Performed,Found,Before you set where you are heading it's good to know from where you started.,Before you set where you are heading it's good to know from where you start,0.975609756,dashboard.section-1.perex,56,dashboard.section-1.perex
dashboard.cards.strengths.title.filled,17,My strengths,M� siln� str�nky,Mes forces,Finde meine Stärken,Meine Stärken aufdecken,Encuentra mis fortalezas,dashboard.cards.strengths.title.empty,,,Find my strengths,,,,,
,18,Set my values,Určit si své hodnoty,Déterminer mes valeurs,Setzen Sie meine Werte,Um ihre Werte zu bestimmen,Establecer mis valores,dashboard.cards.values.title.empty,,,Set my values,,,,,
,19,My notes,Moje poznámky,Mes notes,Meine Notizen,Meine Notizen,Mis notas,dashboard.cards.notes.title,,,My notes,,,,,
dashboard.cards.notes.placeholder.empty,20,Type something...,Napište něco...,Écrivez quelque chose…,Schreibe etwas...,Schreibe etwas ...,Escribe algo...,,Performed,Found,Type something...,Type something,0.888888889,dashboard.cards.notes.placeholder.empty,43,dashboard.cards.notes.placeholder.empty
,21,Who to become,Kým se stát,Qui devenir?,Wer zu werden,Werden,A quien convertirse,dashboard.section-2.heading,,,Who to become,,,,,
,22,Become a better leader and here is how you get there.,Staňte se lepším leaderem a tímto se tam dostanete.,Devenez un meilleur leader et voici comment vous y parviendrez.,"Werden Sie ein besserer Anführer und hier ist, wie Sie dorthin gelangen.",Werden Sie ein besserer Anführer und Sie werden dort ankommen.,Conviértete en un mejor líder y así es como llegas allí.,dashboard.section-2.perex,,,Become a better leader and here is how you get there.,,,,,
,23,Set area for my development,Nastavit oblast pro svůj rozvoj,Définir un périmètre pour son développement.,Setzen Sie den Bereich für meine Entwicklung,Stellen Sie einen Bereich für Ihre Entwicklung fest,Establecer área para mi desarrollo,dashboard.cards.sessions.title.empty,,,Set area for my development,,,,,
,24,My leadership journey,Moje leadership cesta,Mon chemin vers le leadership,Meine Führungsreise,Mein Führungspfad,Mi viaje de liderazgo,dashboard.rightmenu.title,,,My leadership journey,,,,,
,25,No upcoming sessions,Není nastaven osobní rozvoj,Aucunes sessions à venir.,Keine bevorstehenden Sitzungen,Es ist keine persönliche Entwicklung eingerichtet,No hay sesiones próximas,dashboard.rightmenu.upcoming.title.empty,,,No upcoming sessions,,,,,
dashboard.rightmenu.upcoming.perex.empty,26,Sessions with a coach will appear here,Osobní rozvoj s koučem se zobrazí zde,Les sessions avec un coach/formateur vont être visibles ici.,Sitzungen mit einem Trainer werden hier anfallen,Die persönliche Entwicklung mit einem Trainer wird hier erscheinen,Las sesiones con un entrenador aparecerán aquí,,Performed,Found,Sessions with a coach will appear here,Sessions with a coach will apear here,0.983606557,dashboard.rightmenu.upcoming.perex.empty,52,dashboard.rightmenu.upcoming.perex.empty
dashboard.rightmenu.upcoming.start,27,Start session,Spustit osobní rozvoj,Démarrer une session.,Starten Sie die Sitzung,Persönliche Entwicklung führen,Sesión de inicio,,Performed,Found,Start session,Start Session,0.818181818,dashboard.rightmenu.upcoming.start,53,dashboard.rightmenu.upcoming.start
,28,Actions,Aktivity,Les actions,Aktionen,Aktivitäten,Comportamiento,,Performed,Found,Actions,Add action,0.571428571,action-steps.add-button,0,
,29,No actions set,Aktivity nejsou určeny,Aucune action définie.,Keine Aktionen festgelegt,Aktivitäten werden nicht bestimmt,Sin acciones establecidas,,Performed,Found,No actions set,Set action steps,0.583333333,"sessions.edit.steps.setaction.label,sessions.new.steps.actionsteps.label",148,
dashboard.rightmenu.upcoming.perex.empty,30,"Once you set a goal, actions will apear here","Jakmile si stanovíte cíl, aktivity se zobrazí zde","Dès lors que vous établissez un objectif, les actions/tâches apparaîtront ici.","Sobald Sie sich ein Ziel gesetzt haben, werden die Aktionen hier Apear apear","Sobald Sie sich ein Ziel gesetzt haben, erscheinen die Aktivitäten hier","Una vez que establezca una meta, las acciones aparecerán aquí",,Performed,Found,"Once you set a goal, actions will apear here",Sessions with a coach will apear here,0.553846154,dashboard.rightmenu.upcoming.perex.empty,52,dashboard.rightmenu.upcoming.perex.empty
,31,Notifications,Oznámení,Les notifications,Benachrichtigungen,Benachrichtigung,Notificaciones,,Performed,Found,Notifications,Motivation,0.571428571,sessions.new.steps.motivation.label,166,
,32,Chat with,Chatovat s,Échanger avec,Plaudern mit,Plaudern mit,Charlar con,,Performed,Found,Chat with,Sign in with Google,0.272727273,auth.login.google,14,
,33,Cancel,Zrušit,Annuler,Stornieren,Stornieren,Cancelar,coaches.contact.button.cancel|settings.general.button.cancel,,,Cancel,,,,,
,34,Send,Poslat,Envoyer,Schicken,Schicken,Enviar,coaches.contact.button.send,,,Send,,,,,
,35,Back to the dashboard,Zpět na přehled,Retour au tableau de board.,Zurück zum Dashboard,Zurück zur Übersicht,Volver al tablero,assessment.header.back|strengths.header.back|values.header.back,,,Back to the dashboard,,,,,
,36,Back,Zpět  ,Revenir,Der Rücken,Zurück,atrás,assessment.button.back|controls.back,,,Back,,,,,
,37,Next,Další,Suivant,Nächste,Nächste,Próximo,assessment.button.next|controls.next|sessions.new.steps.area.next,,,Next,,,,,
,38,Not me at all,To vůbec nejsem já,Ne me correspond pas du tout.,Überhaupt nicht ich,Ich bin es überhaupt nicht,Yo no yo en absoluto,score.min,,,Not me at all,,,,,
,39,Totally me,Úplně já,Me correspond entièrement.,Vollständig Ich,Vollständig,Totalmente yo,score.max,,,Totally me,,,,,
,40,Save assessment,Uložit vyhodnocení,Enregistrer l'évaluation.,Bewertung sparen,Auswerten,Guardar evaluación,assessment.menu.save,,,Save assessment,,,,,
,41,Find my strengths assessment,Vyhodnocení mých silných stránek,Retrouver l'évaluation de mes atouts.,Finden Sie meine Stärkenbewertung,Bewertung meiner Stärken,Encuentra mi evaluación de fortalezas,assessment.menu.title|strengths.aside.title,,,Find my strengths assessment,,,,,
,42,Progress,Postup,Méthodologie,Fortschritt,Methode,Progreso,assessment.menu.progress,,,Progress,,,,,
,43,Questions,Otázky,Questions.,Fragen,Fragen,Preguntas,assessment.menu.questions,,,Questions,,,,,
,44,Responses,Odpovědi,Réponses.,Antworten,Antworten,Respuestas,assessment.menu.responses,,,Responses,,,,,
strengths.heading.title,45,Here are my strengths,Zde jsou moje silné stránky,Voici mes forces,Hier sind meine Stärken,Hier sind meine Stärken,Aquí están mis fortalezas,,Performed,Found,Here are my strengths,Here are your strengths,0.777777778,strengths.heading.title,201,strengths.heading.title
strengths.heading.perex,,,,,,,,,,,,,,,,
,46,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","Úspěšní leadeři tráví většinu času rozvojem a využíváním svých silných stránek a zároveň jsou si vědomi těch slabých. Tím, že plně pochopí své silné stránky, jsou lépe schopni soustředit se na to, v čem jsou dobří.","Les leadersqui réussissent passent la plupart de leur temps à développer leurs forces et à les appliquer sur leur lieu de travail, tout en prenant en compte leurs faiblesses.","Erfolgreiche Führungskräfte verbringen die meiste Zeit damit, ihre Stärken zu entwickeln und sie am Arbeitsplatz anzuwenden und gleichzeitig ihre Schwächen zu verwalten. Indem sie ihre Stärken vollständig verstehen, können sie sich klarer auf das konzentrieren, was sie gut können.","Erfolgreiche Führungskräfte verbringen die meiste Zeit, indem sie ihre Stärken entwickeln und nutzen und sind sich der Schwachen bewusst. Indem sie ihre Stärken voll und ganz verstehen, können sie sich besser auf das konzentrieren, was sie gut können.","Los líderes exitosos pasan la mayor parte de su tiempo desarrollando sus fortalezas y aplicándolas en el lugar de trabajo mientras gestionan simultáneamente sus debilidades. Al comprender completamente sus fortalezas, pueden centrarse más claramente en lo que son buenos.",,Performed,Found,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","""In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking.""",0.446389497,strengths.third.summary,204,strengths.third.summary
,47,History,Předešlé záznamy,Historique,Geschichte,Vorherige Datensätze,Historia,strengths.aside.perex|values.aside.perex,,,History,,,,,
,48,Assessment completed,Vyhodnocení dokončeno,Session terminée.,Bewertung abgeschlossen,Bewertung abgeschlossen,Evaluación completada,,Performed,Found,Assessment completed,Retake assessment,0.545454545,strengths.aside.retake-button,198,
,49,Retake assessment,Zopakovat vyhodnocení,Recommencer la session.,Bewertung wiederholen,Wiederholen,Evaluación de recuperación,strengths.aside.retake-button,,,Retake assessment,,,,,
,50,Initiator,Iniciátor,Initiateur.,Initiator,Initiator,Iniciador,,Performed,Found,Initiator,History,0.285714286,"strengths.aside.perex,values.aside.perex",197,
,51,Flexible,Flexibilní,Flexible,Flexibel,Flexibel,Flexible,,Performed,Found,Flexible,Unavailable,0.235294118,settings.availability.unavailable,177,
,52,Analyser,Analytik,Analyste,Analysator,Analytiker,Analizador,,Performed,Found,Analyser,Personal Info,0.333333333,settings.profile.heading,194,settings.profile.heading
,53,Believer,Hodnotový,Croyant,Gläubige,Wert,Creyente,,Performed,Found,Believer,Field,0.363636364,coaches.filter.field.label,38,
,54,Ideamaker,Plný nápadů,Créateur d'idées,Idenamaker,Voller Ideen,Ideamero,,Performed,Found,Ideamaker,Retake assessment,0.260869565,strengths.aside.retake-button,198,
,55,Coach,Kouč ,Formateur,Coach,Coach,Entrenador,,Performed,Found,Coach,Coaches,0.8,"coaches.heading,main-menu.items.coaches",41,
,56,Leader,Leader,Leader,Führer,Führer,Líder,,Performed,Found,Leader,Welcome to TopLeader,0.454545455,auth.unauthorized.title,19,
,57,Communicator,Řečník,Orateur,Kommunikator,Lautsprecher,Comunicador,,Performed,Found,Communicator,Certificates,0.272727273,settings.profile.field.certificates,186,
,58,Challenger,Vyzyvatel,Défieur,Herausforderer,Herausforderer,Desafiador,,Performed,Found,Challenger,Change my values,0.454545455,values.aside.save,206,
,59,Connector,Propojovatel,Rassembleur,Verbinder,Linier,Conector,,Performed,Found,Connector,Contact,0.428571429,coaches.coach.contact,26,
,60,Empathizer,Empatický,Empathique,Einfühlungsvermögen,Einfühlsam,Empatía,,Performed,Found,Empathizer,at,0.2,sessions.steps.finished.datetime.separator,170,
,61,Concentrated,Koncentrovaný,Concentré,Konzentriert,Konzentriert,Concentrado,,Performed,Found,Concentrated,Due date,0.352941176,action-steps.due-date.label,1,
,62,Lover of order,Milovník pořádku,Amoureux des ordres.,Reihenliebhaber,Reihenliebhaber,Amante del orden,,Performed,Found,Lover of order,Area for development,0.357142857,sessions.new.steps.area.caption,155,
,63,Self-Developer,Seberozvojový,Auto-développeur,Selbstentwickler,Selbstentwicklung,Autodesarrecador,,Performed,Found,Self-Developer,Area of development,0.344827586,sessions.edit.steps.align.area.caption,138,sessions.edit.steps.align.area.caption
,64,Positive,Pozitivní,Positif,Positiv,Positiv,Positivo,,Performed,Found,Positive,Motivation,0.25,sessions.new.steps.motivation.label,166,
,65,Reliable,Spolehlivý,Fiable,Verantwortlich,Zuverlässig,Responsable,,Performed,Found,Reliable,Label,0.363636364,action-steps.label.placeholder,2,
,66,Self-Believer,Věřící si,Confiant,Selbstgläubiger,Gläubige,Creyente,,Performed,Found,Self-Believer,Select the values that you believe in the most,0.285714286,values.set.heading,210,
,67,Solver,Řešitel,Trouveur de solutions,Löser,Löser,Solucionador,,Performed,Found,Solver,"""I am a born solver!""",0.380952381,dict.questions.solver_03,115,dict.questions.solver_03
,68,Strategist,Stratég,Stratège,Stratege,Stratege,Estratega,,Performed,Found,Strategist,Due date,0.266666667,action-steps.due-date.label,1,
,69,Intellectual,Intelektuál,Intellectuel,Intellektuell,Intellektuell,Intelectual,,Performed,Found,Intellectual,Responses collected,0.357142857,feedback.aside.collected,121,
strengths.first.summary,70,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","Věděli jste, že máte mnohem větší potenciál pro růst, když investujete energii do rozvoje svých silných stránek? Mnoho výzkumů ukázalo, jak přístup založený na silných stránkách zlepšuje Vaši důvěru, směřování a také laskavost vůči druhým.","Saviez-vous que vous aviez bien plus de potentiel de croissance lorsque vous investissez de l'énergie dans le développement de vos forces? De nombreuses recherches ont prouvé qu'une approche basée sur vos forces améliore votre confiance en vous, la définition de vos directions et votre gentillesse envers les autres.","Wussten Sie, dass Sie viel mehr Wachstumspotenzial haben, wenn Sie Energie in die Entwicklung Ihrer Stärken investieren? Viele Forschungen haben gezeigt, wie ein auf Stärken basierender Ansatz Ihr Vertrauen, Ihre Richtung und Ihr Freundlichkeit gegenüber anderen verbessert.","Wussten Sie, dass Sie ein viel größeres Wachstumspotenzial haben, wenn Sie Energie in die Entwicklung Ihrer Stärken investieren? Viele Forschungen haben gezeigt, wie der Ansatz der Stärke Ihr Vertrauen, Ihre Richtung und Ihre Freundlichkeit gegenüber anderen verbessert.","¿Sabía que tiene mucho más potencial de crecimiento cuando invierte energía en el desarrollo de sus fortalezas? Muchas investigaciones han demostrado cómo un enfoque basado en fortalezas mejora su confianza, dirección y amabilidad hacia los demás.",,Performed,Found,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","""Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.""",0.994923858,strengths.first.summary,199,strengths.first.summary
strengths.second.summary,71,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","Zatímco seznam vašich 5 nejlepších stránek ukazuje oblasti, kde máte svůj největší potenciál, zde vidíte dalších pět talentů, kterých byste si měli být také vědomi. Ty by mohly být velkou pomocí na Vaší profesionální a osobní životní cestě.","Alors que la liste de vos 5 meilleurs atouts démontre les domaines où vous avez le plus gros potentiel d'utiliser vos talents naturels, voici les 5 atouts suivants que vous devriez prendre également en compte. Ils peuvent être d'une grande aide dans votre vie professionnelle ainsi que dans votre parcours personnel.","Während die Liste Ihrer Top 5 Stärken Ihnen die Bereiche zeigt, in denen Sie das größte Potenzial haben, Ihre natürlichen Talente zu nutzen, können Sie hier die nächsten fünf Stenghts sehen, die Sie auch bewusst sein sollten. Sie könnten eine große Hilfe auf Ihrer professionellen und privaten Lebensreise sein.","Während die Liste Ihrer Top 5 Seiten Bereiche zeigt, in denen Sie Ihr größtes Potenzial haben, können Sie fünf weitere Talente sehen, die Sie auch kennen. Dies könnte eine große Hilfe auf Ihrer beruflichen und persönlichen Lebensreise sein.","Si bien la lista de sus 5 principales fortalezas le muestra las áreas en las que tiene el mayor potencial para usar sus talentos naturales, aquí puede ver los próximos cinco Stenghs que también debe tener en cuenta. Pueden ser de gran ayuda en su viaje de vida profesional y privada.",,Performed,Found,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","""Whilst the list of your Top 5 strengths shows you the areas where you have the greatest potential to use your natural talents, here you can see the next five stenghts that you should be also aware of. They might be a big help in your professional and private life journey.""",0.90625,strengths.second.summary,203,strengths.second.summary
strengths.third.summary,72,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","Povědomí o vašich slabších stránkách Vám pomůže vyhnout se hlavním překážkám. Pokuste se spolupracovat s někým, u kterého jsou naopak tyto talenty předností. ","Peut importe le rôle, il est bon de connaître les domaines où vous avez plus de faiblesses. Dans de nombreux cas, le simple fait d'en être conscient peut éviter de principaux obstables. Essayez d'établir des systèmes qui vous permettront des les contrôler ou de collaborer avec quelqu'un qui a plus de talent dans ces domaines où vous êtes plus faible.","In jeder Rolle ist es gut, Ihre Bereiche weniger Talent zu kennen. In vielen Fällen kann es Ihnen helfen, wichtige Hindernisse zu vermeiden. Versuchen Sie entweder, Systeme zu etablieren, um sie zu verwalten, oder versuchen Sie, mit jemandem zusammenzuarbeiten, der mehr Talente in den Bereichen hat, in denen Sie fehlen.","Das Bewusstsein für Ihre schwächeren Seiten hilft Ihnen dabei, die Haupthindernisse zu vermeiden. Versuchen Sie, mit jemandem zusammenzuarbeiten, der andererseits die Vorteile dieser Talente ist.","En cualquier papel, es bueno conocer sus áreas de menor talento. En muchos casos, simplemente estar al tanto de sus áreas de menor talento puede ayudarlo a evitar las principales barreras. Trate de establecer sistemas para administrarlos o tratar de asociarse con alguien que tenga más talento en las áreas en las que le falta.",,Performed,Found,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","""In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking.""",0.995850622,strengths.third.summary,204,strengths.third.summary
,73,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?","„Nezastavujte mě teď!“ Nacházíte se často v situaci, kdy prostě musíte jednat?","""Ne m'arrête pas maintenant!"" Vous retrouvez-vous souvent dans des situations où vous avez juste besoin d'agir?","""Hör mich jetzt nicht auf!"" Finden Sie sich oft in einer Situation, in der Sie nur Maßnahmen ergreifen müssen?","""Hör mich jetzt nicht auf!"" Sind Sie oft in einer Situation, in der Sie nur handeln müssen?","""¡No me detengas ahora!"" ¿Te encuentras a menudo en una situación en la que solo necesitas tomar medidas?",dict.questions.initiator_01,,,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?",,,,,
dict.questions.flexible_01,74,"""I can adapt easily to various changes."" Is that you?","""Dokážu se snadno přizpůsobit různým změnám."" Jste to Vy?","""Je peux m'adapter facilement à différents changements?"" Est-ce vous?","""Ich kann mich leicht an verschiedene Änderungen anpassen."" Sind Sie das?","""Ich kann mich leicht an verschiedene Veränderungen anpassen."" Bist du es?","""Puedo adaptarme fácilmente a varios cambios"". ¿Eres tu?",,Performed,Found,"""I can adapt easily to various changes."" Is that you?","""I can adapt easily to different changes."" Is that you?",0.795454545,dict.questions.flexible_01,80,dict.questions.flexible_01
,75,"""I love it when I can back things up with facts and logical thinking.""","""Miluji to, když můžu věci podpořit fakty a logickým myšlením.""",""" J'adore quand je peux assurer des choses grâce à des preuves réelles et une réflexion logique.""","""Ich liebe es, wenn ich die Dinge mit Fakten und logischem Denken unterstützen kann.""","""Ich liebe es, wenn ich Dinge durch Fakten und logisches Denken unterstützen kann.""","""Me encanta cuando puedo respaldar las cosas con hechos y pensamiento lógico"".",dict.questions.analyser_01,,,"""I love it when I can back things up with facts and logical thinking.""",,,,,
,76,"""Don't question my values! I don't compromise important things in my life.""","""Nezpochybňujte mé hodnoty! Nedělám kompromisy v důležitých věcech v mém životě.""",""" Ne remettez-pas en question mes valeurs! Dans ma vie je ne fais pas de compromis avec les choses importantes.""","""Fragen Sie meine Werte nicht in Frage! Ich Kompromiss wichtige Dinge in meinem Leben nicht.""","""Fragen Sie meine Werte nicht in Frage! Ich Kompromisse bei wichtigen Dingen in meinem Leben nicht.""","""¡No cuestiones mis valores! No comprometo cosas importantes en mi vida"".",dict.questions.believer_01,,,"""Don't question my values! I don't compromise important things in my life.""",,,,,
,77,"""Do I have new ideas?! Plenty and often!""","""Jestli mám nové nápady?! Ano, spoustu a často!""","""Est-ce que j'ai de nouvelles idées?! Oui, de nombreuses et souvent!""","""Habe ich neue Ideen?! Viel und oft!""","""Wenn ich neue Ideen habe?! Ja, viel und oft!""","""¿Tengo nuevas ideas?",dict.questions.ideamaker_01,,,"""Do I have new ideas?! Plenty and often!""",,,,,
,78,"""Come on, you can do it!"" Do you like to help others to succeed?","""No tak, ty to zvládneš!"" Rádi pomáháte ostatním k úspěchu?","""Allez, tu peux y arriver! Aimes-tu aider les autres à réussir?""","""Komm schon, du kannst es!"" Möchten Sie anderen helfen, erfolgreich zu sein?","""Nun, du kannst es schaffen!"" Möchten Sie anderen helfen, erfolgreich zu sein?","""¡Vamos, puedes hacerlo!"" ¿Te gusta ayudar a otros a tener éxito?",dict.questions.coach_01,,,"""Come on, you can do it!"" Do you like to help others to succeed?",,,,,
,79,"""When I feel it's important, I am not afraid to take charge.""","""Nebojím se vzít si na starost důležité věci.""","""Dès lors que je ressens que c'est important, je n'ai pas peur de prendre les choses en main.""","""Wenn ich es für wichtig halte, habe ich keine Angst, die Verantwortung zu übernehmen.""","""Ich habe keine Angst, sich um wichtige Dinge zu kümmern.""","""Cuando siento que es importante, no tengo miedo de hacerse cargo"".",dict.questions.leader_01,,,"""When I feel it's important, I am not afraid to take charge.""",,,,,
,80,"""You like to host, speak and be listened to. Is that your style?""","„Rád mluvím a veřejně vystupuji"". Je to Váš styl?","""J'aime accueillir, parler et être écouté. Est-ce votre style?","""Sie möchten gerne hosten, sprechen und hören. Ist das Ihr Stil?""","""Ich spreche gerne öffentlich"". Ist das dein Stil?","""Te gusta alojar, hablar y ser escuchado. ¿Es ese tu estilo?""",dict.questions.communicator_01,,,"""You like to host, speak and be listened to. Is that your style?""",,,,,
,81,"""I'll win, I'll win. I was born to win!""","""Vyhraju, vyhraju. Narodil jsem se, abych vyhrál/a!"" Sedí to na Vás?","""Je vais gagner, je vais gagner. Je suis né pour gagner.""","""Ich werde gewinnen, ich werde gewinnen. Ich wurde geboren, um zu gewinnen!""","""Ich werde gewinnen, ich werde gewinnen. Ich wurde geboren, um zu gewinnen!"" Sitzt es auf dir?","""Ganaré, ganaré. ¡Nací para ganar!""",dict.questions.challenger_01,,,"""I'll win, I'll win. I was born to win!""",,,,,
,82,"""Come on guys, just agree on something!"" I am the bridge builder.","""No tak, lidi, už se na něčem shodněte!"" Já stavím mosty. ","Allez, mettez-vous d'accord sur quelque chose!"" Je suis le médiateur.","""Komm schon Leute, stimmst einfach etwas zu!"" Ich bin der Brückenbauer.","""Komm schon, Leute, stimmst schon etwas zu!"" Ich baue Brücken.","""¡Vamos chicos, solo están de acuerdo en algo!"" Soy el constructor de puentes.",dict.questions.mediator_01,,,"""Come on guys, just agree on something!"" I am the bridge builder.",,,,,
,83,"""I know how you feel. I share your perspective."" Does that sound like you?","""Vím, jak se cítíš. Sdílím tvoje starosti."" Zní to jako Vy?","""Je sais ce que tu ressens. Je partage ton point de vue."" Est-ce que cela vous ressemble?","""Ich weiß, wie du dich fühlst. Ich teile deine Perspektive."" Klingt das wie du?","""Ich weiß, wie du dich fühlst. Ich teile deine Sorgen."" Klingt das wie du?","""Sé cómo te sientes. Comparto tu perspectiva"". ¿Eso suena como tú?",dict.questions.empathizer_01,,,"""I know how you feel. I share your perspective."" Does that sound like you?",,,,,
,84,"""First I need to finish one thing, then I can move on to another.""","""Nejprve musím dokončit jednu věc, pak se mohu přesunout ke druhé."" ","""D'abord, j'ai besoin de terminer une chose, avant de passer à une autre.""","""Zuerst muss ich eine Sache beenden, dann kann ich zu einer anderen übergehen.""","""Zuerst muss ich eine Sache beenden, dann kann ich zu einer anderen ziehen.""","""Primero necesito terminar una cosa, luego puedo pasar a otra"".",dict.questions.concentrated_01,,,"""First I need to finish one thing, then I can move on to another.""",,,,,
,85,"""If you need someone who sets up processes and deadlines, just give me a call.""","""Pokud potřebujete někoho, kdo nastaví procesy a termíny, dejte mi vědět."" ","""Si vous avez besoin de quelqu'un qui met en place des protocoles et des échéances, appelez-moi.""","""Wenn Sie jemanden brauchen, der Prozesse und Fristen einrichtet, rufen Sie mich einfach an.""","""Wenn Sie jemanden brauchen, um Prozesse und Begriffe einzurichten, lassen Sie es mich wissen.""","""Si necesitas a alguien que establezca procesos y plazos, solo llámame"".",dict.questions.lover_of_order_01,,,"""If you need someone who sets up processes and deadlines, just give me a call.""",,,,,
,86,"""My life is all about learning new things."" Is that you?","""Můj život je hlavně o učení se novým věcem."" Jste to Vy?","""Ma vie consiste à apprendre de nouvelles choses."" Est-ce vous?","""In meinem Leben geht es darum, neue Dinge zu lernen."" Sind Sie das?","""In meinem Leben geht es darum, neue Dinge zu lernen."" Bist du es?","""Mi vida se trata de aprender cosas nuevas"". ¿Eres tu?",dict.questions.self_developer_01,,,"""My life is all about learning new things."" Is that you?",,,,,
